국가,대학명,항목,현재값,문제
NETHERLANDS,Erasmus University Rotterdam,최소GPA,"sufficient courses in Microeconomics, Macroeconomics, Statistics and Mathematics",문장형(정규화 필요)
NETHERLANDS,Vrije Universiteit Amsterdam,어학요건,N/A,점수 없음(문장만)
NORWAY,University of Oslo,최소학점,"Should adhere to visa requirements. No minimum, but we expect students to be full-time stu",너무 김
PERU,Pontifical Catholic University of Peru,최대학점,"maximum 22 pucp credits. We recommend to take between 12 to 15,because of the academic wor",너무 김
SINGAPORE,Singapore University of Technology and Design (SUTD),어학요건,N/A (As long as student is capable of taking courses/research fully delivered in English),점수 없음(문장만)
SINGAPORE,Nanyang Technological University (NTU),어학요건,Last page in the link: https://gem.ntu.edu.sg/_customtags/ct_FileRetrieve.cfm?File_ID=2142,URL만 있음
SINGAPORE,Nanyang Technological University (NTU),최소학점,Refer to the link https://gem.ntu.edu.sg/index.cfm?FuseAction=Programs.ViewProgramAngular&,너무 김
SINGAPORE,Nanyang Technological University (NTU),최대학점,Refer to the link https://gem.ntu.edu.sg/index.cfm?FuseAction=Programs.ViewProgramAngular&,너무 김
SPAIN,University of Alicante,어학요건,N/A,점수 없음(문장만)
SPAIN,Autonomous University of Barcelona,어학요건,N/A,점수 없음(문장만)
SPAIN,Esade Business School,어학요건,N/A. We trust our partners to nominate students with sufficient English level to follow th,너무 김(압축 필요)
SPAIN,IE University,최소학점,No minimum ECTS requirement set by IEU. Minimum reqs are set by the home institution.,너무 김
SWEDEN,Uppsala University,어학요건,Students are expected to manage at least a B2 level on the Common European Framework of Re,너무 김(압축 필요)
SWEDEN,Uppsala University,최소학점,"Minimum: 22.5 credits, However, the Swedish Migration Agency requires students to be accep",너무 김
SWITZERLAND,University of Applied Sciences and Arts Northwestern Switzerland,최소학점,A study program of at least 15 ECTS per semester is required by our university.,너무 김
SWITZERLAND,University of Applied Sciences and Arts Northwestern Switzerland,최대학점,It is recommended not to take more than 30-33 ECTS.,너무 김
SWITZERLAND,ZHAW Zurich University of Applied Sciences,어학요건,The expected language proficiency level is B2+ (Common European Framework of Reference for,너무 김(압축 필요)
SWITZERLAND,University of Bern,최소학점,"There is no minimum, we recommend between 20-25 ECTS.",너무 김
TAIWAN,Feng Chia University,어학요건,"TOEFL iBT 61+, TOEFL ITP 500+, TOEFL CBT 173+, TOEIC 550+, IELTS 4.0+, HSK Level 5+, TOCFL",너무 김(압축 필요)
TAIWAN,National Tsing Hua University,최소학점,"For undergraduates, at least 9 credits for each semester(including a course from host depa",너무 김
TAIWAN,National Chiao Tung University,최소GPA,"3.0/4.0 (ECE), 3.5/5.0 or 3.0/4.0 (CS), 2.75/4.0 (Bioscience)",문장형(정규화 필요)
TAIWAN,National Chengchi University,어학요건,n/a,점수 없음(문장만)
TAIWAN,National Taiwan University,최소학점,Exchange students must take 4 NTU credits or 2 courses per semester.,너무 김
TAIWAN,National Taiwan University,최대학점,"Generally, undergraduate students can take a maximum of 25 credits per semester and gradua",너무 김
THAILAND,Mae Fah Luang University,어학요건,N/A,점수 없음(문장만)
THAILAND,Chulalongkorn University,최대학점,Undergraduate student: 22 credits (approx. 7-8 courses) Graduate student: 6 credits (appro,너무 김
THAILAND,King Mongkut’s University of Technology Thonburi,어학요건,N/A,점수 없음(문장만)
TURKEY,Istanbul Technical University,어학요건,"yes we accept your proficiency letter,",점수 없음(문장만)
TURKEY,Istanbul Technical University,수업언어,확인필요,미확보
TURKEY,Bogazici University,최소학점,"Erasmus and Exchange students are expected to take
 4 - 6 courses, equaling 17- 21 Bogazic",너무 김
UNITED KINGDOM,SOAS University of London,최소GPA,3.3 on a 4.0 scale (3.0 with strong academic motivation),문장형(정규화 필요)
UNITED KINGDOM,SOAS University of London,최소학점,45 credits per semester for semester-only student and 60 per semester for full year,너무 김
UNITED KINGDOM,University of Leicester,어학요건,"IELTS 6.0+ (Science), IELTS 6.0+ (ELCC), IELTS 6.5+ (All other modules), IELTS 6.0+ (Law w",너무 김(압축 필요)
UNITED KINGDOM,University of Sheffield,최소학점,Students are expected to select 120 Sheffield credits (60 ECTS) for a full academic year o,너무 김
UNITED KINGDOM,University of Sheffield,최대학점,Students are expected to select 120 Sheffield credits (60 ECTS) for a full academic year o,너무 김
UNITED KINGDOM,University of Reading,최소학점,20 ECTS for a single semester; 50 for a full academic year,너무 김
UNITED KINGDOM,University of Reading,최대학점,30 ECTS for a single semester; 60 for a full academic year,너무 김
UNITED KINGDOM,University of Essex,어학요건,We have different English requirments depding on student's level of study and duration of ,너무 김(압축 필요)
UNITED KINGDOM,University of Bristol,최소GPA,3.5 GPA out of 5.0/B/80 out of 100 (or 3.0 out of 4.0 Grade Point Average system),문장형(정규화 필요)
UNITED KINGDOM,University of Bristol,최소학점,"60 Bristol credits (30 ECTs) per semester, 120 Bristol credits (60 ECTs) for full year",너무 김
UNITED KINGDOM,University of Bristol,최대학점,60 Bristol credits (30 ECTs) per semester (This is the min and max),너무 김
UNITED KINGDOM,University of Leeds,어학요건,"IELTS 6.0+, TOEFL iBT 80+ (0-120), TOEFL iBT 4+ (1-6)",subscore 의심(점수 비정상)
UNITED KINGDOM,University of the West of England(UWE Bristol),어학요건,Students are expected to arrive with a sufficient level of English in order to be able to ,너무 김(압축 필요)
UNITED KINGDOM,University of the West of England(UWE Bristol),최소학점,This will be dependent on any Visa requirements. We recommend at least 15 ECTS per semeste,너무 김
UNITED KINGDOM,University of the West of England(UWE Bristol),학기수,(비어있음),미확보
UNITED KINGDOM,Birmingham City University,최소학점,"One semester students must take 60 BCU credits (30 ECTS) = 3-4 modules per semester
 Two s",너무 김
UNITED KINGDOM,Birmingham City University,최대학점,"One semester students must take 60 BCU credits (30 ECTS) = 3-4 modules per semester
 Two s",너무 김
UNITED KINGDOM,Birmingham City University,학기수,(비어있음),미확보
UNITED KINGDOM,Birmingham City University,해외수학전공,"모든 학과 개방(Art, Design, Business, Computing, Engineering, Health, Education, Life Sciences, ",너무 김(요약 필요)
UNITED STATES,"University at Albany, State University of New York(SUNY)",어학요건,확인필요(링크 참조),미확보
UNITED STATES,"University at Albany, State University of New York(SUNY)",최소GPA,확인필요,미확보
UNITED STATES,"University at Albany, State University of New York(SUNY)",학기수,(비어있음),미확보
UNITED STATES,Clarkson University,어학요건,The Exchange Student English Proficiency form - https://drive.google.com/file/d/1oJsB3ksKZ,URL만 있음
UNITED STATES,Washington State University,어학요건,"IELTS 6.5+, TOEFL iBT 4+, Duolingo 105+",subscore 의심(점수 비정상)
UNITED STATES,University of Texas at Dallas,최대학점,18 U.S. credits per semester (undegraduate)- not recommended. We recommend 15 max.,너무 김
UNITED STATES,University of Massachusetts Boston,어학요건,"TOEFL iBT 4+ (2026-01-21 이후), TOEFL iBT 79+ (2026-01-21 이전), IELTS 6.0+, Duolingo 105+",subscore 의심(점수 비정상)
UNITED STATES,The Pennsylvania State University,어학요건,"See ""English Language Proficiency for First-Year and Transfer Students"" on https://www.psu",URL만 있음
UNITED STATES,The Pennsylvania State University,최대학점,"19 credits for semester only, 30 credits for full year",너무 김
UNITED STATES,Bentley University,어학요건,Attestation of English Proficiency,점수 없음(문장만)
UNITED STATES,Michigan State University,어학요건,"TOEFL iBT 79+ (2026년 1월 21일 이전), TOEFL iBT 4+ (2026년 1월 21일 이후), IELTS 6.5+, Duolingo 110+",subscore 의심(점수 비정상)
UNITED STATES,"University of California, Santa Cruz",최대학점,19 per quarter (without special permission for more),너무 김
UNITED STATES,San Jose State University,어학요건,"TOEFL iBT 61+, IELTS 6.0+, PTE 44+, Duolingo 95+ (Engineering: TOEFL iBT 80+, IELTS 6.5+, ",너무 김(압축 필요)
UNITED STATES,Florida State University,최소학점,12 FSU credits (semester based US credit system with 15 week semseter),너무 김
UNITED STATES,Florida State University,최대학점,"15, must request permission to take higher than 12 credits and have it approved by SKKU ad",너무 김
