국가,대학명,지원가능 전공(SKKU),해외대학 수학 전공,최소 GPA,완료 학기 수,최소 학점,최대 학점,위치(도심 거리),수업 언어,어학 요건,특징,출처 요약,참고 링크,문의 이메일
AUSTRIA,University of Vienna,모든 전공,교환학생 수용하는 모든 학과,제한 없음/명시 없음,2학기 이상,16 ECTS,제한 없음,도시 — 빈 도심에 위치,"독일어, 영어",수업언어 CEFR B2 이상 (독문학은 독일어 C1),기숙사 미보장·조기신청 필요 · 유럽 문화 중심지·박물관·오페라 접근성 우수 · 빈 특유 커피하우스 문화 체험 가능 · 알프스·동유럽 배낭여행 거점 도시,GPA:시트 · 어학:시트 · 수업언어:웹 · 전공:시트 · 위치:AI추정,international.univie.ac.at/non-eu-in,non-eu-exchange@univie.ac.at
AUSTRIA,Vorarlberg University of Applied Sciences,모든 전공,교환학생 수용하는 모든 학과,제한 없음 (홈교 기준),3학기 이상,18 ECTS,30 ECTS,준도시 — 소도시 도르비른 시내 (브레겐츠에서 버스 약 50분),영어,영어 CEFR B2 이상,알프스 근접 자연 경관·아웃도어 활동 천국 · 소규모 도시 한적함·유럽 전통 마을 분위기,GPA:시트 · 어학:시트 · 수업언어:웹 · 전공:시트 · 위치:AI추정,https://www.fhv.at/incomings/english-courses,exchange@fhv.at
AUSTRIA,MCI Management Center Innsbruck,모든 전공,교환학생 수용하는 모든 학과,제한 없음/명시 없음,4학기 이상 (학부) / 2학기 (대학원),명시 없음,30 ECTS,준도시 — 소도시 인스브루크 시내 (빈에서 기차 약 5시간),영어,SKKU 어학확인서 인정,"알프스 접근성 최고, 겨울 스포츠 천국 · 중세풍 구시가지와 현대적 인프라 조화",GPA:시트 · 어학:시트 · 수업언어:시트 · 전공:시트 · 위치:AI추정,https://www.mci4me.at/en/international/exchange-incoming,incoming@mci.edu
AUSTRIA,"University of Applied Sciences Upper Austria, Steyr Campus",모든 전공,교환학생 수용하는 모든 학과 개방,2.0/4.0,2학기 이상,20 ECTS,30 ECTS,준도시 — 소도시 슈타이어 시내 (린츠에서 기차 약 80분),영어,SKKU 어학확인서 인정 (B1 이상),알프스 근접 자연 탐험·휴양 최적 · 소도시 정취 속 유럽 전통 건축 감상 · 린츠 문화생활 접근성 우수,GPA:시트 · 어학:시트 · 수업언어:시트 · 전공:시트 · 위치:AI추정,https://drive.google.com/open?id=1BJALvqm3SMEu9pqwMalzXcjExdjd1Vjv,international@fh-steyr.at
BELGIUM,ICHEC Brussels Management School,경영대학,교환학생 수용하는 모든 학과,제한 없음/명시 없음,4학기 이상,명시 없음,30 ECTS,준도시 — 브뤼셀 도심까지 지하철 약 15분,"프랑스어, 영어",명시 없음,유럽 연합 기관 밀집한 정치·비즈니스 중심지 · 벨기에 전통 와플·초콜릿 문화 체험 가능,GPA:시트 · 어학:시트 · 수업언어:웹 · 전공:시트 · 위치:AI추정,https://www.ichec.be/en/incoming-students,kristien.minet@ichec.be
BELGIUM,Free University of Brussels (ULB),경영대학,교환학생 수용하는 모든 학과,제한 없음/명시 없음,5학기 이상,5 ECTS (1과목),30 ECTS,준도시 — 브뤼셀 도심까지 지하철 약 15분,"프랑스어, 영어",명시 없음,유럽 연합 기관 밀집한 국제적 도시 분위기 · 벨기에 전통 와플·초콜릿 문화 체험 가능 · 브뤼셀 도심 접근성 좋은 교통 인프라,GPA:시트 · 어학:시트 · 수업언어:웹 · 전공:시트 · 위치:AI추정,https://sbsem.ulb.be/international/incoming-students,anne.georges@ulb.be
BELGIUM,University of Liege,경영대학,교환학생 수용하는 모든 학과,담당자 이메일 문의,4학기 이상,10 ECTS (+프랑스어 야간강좌),30 ECTS,도시 — 리에주 도심에 위치,"프랑스어, 영어",IELTS 6.0점 이상,HEC 캠퍼스 근처 사설 기숙사 · 벨기에 전통 맥주·와플 체험 가능한 미식 도시 · 아르덴 숲·독일 국경 근접 자연 탐험 적합 · 유럽 중세 건축물과 현대적 캠퍼스 조화,GPA:이메일문의 · 어학:시트 · 수업언어:웹 · 전공:시트 · 위치:AI추정,https://www.programmes.uliege.be/cocoon/20252026/programmes/GZERAS01_B.html,mbequet@uliege.be
BELGIUM,KU Leuven,경영대학,교환학생 수용하는 모든 학과 개방,담당자 이메일 문의,3학기 이상,18 ECTS,33 ECTS,준도시 — 소도시 루벤 시내 (브뤼셀에서 기차 약 45분),"네덜란드어, 영어",영어 CEFR B2 이상 (석사 C1),유럽 한복판 주말 배낭여행 거점 · 고즈넉한 유럽 대학도시 낭만 · 미식과 카페 문화로 유명한 도시,GPA:이메일문의 · 어학:시트 · 수업언어:웹 · 전공:시트 · 위치:AI추정,https://feb.kuleuven.be/eng/international/coming-to-feb-ku-leuven/informationforincomingstudents,internationaloffice.feb@kuleuven.be
BRAZIL,Unisinos University,모든 전공,교환학생 수용하는 모든 학과 개방,6.0/10.0,2학기 이상,16 Unisinos credits,제한 없음,준도시 — 소도시 상 레오폴두 시내 (포르투알레그리에서 버스 약 30분),포르투갈어,공인성적 불요,포르투알레그리 접근성 좋은 소도시 분위기 · 남미의 독특한 포르투갈어 문화 체험 · 대학가 중심 소규모 카페·식당 밀집,GPA:시트 · 어학:시트 · 수업언어:웹 · 전공:시트 · 위치:AI추정,Our new website is in development. Students can verify academic offer by the UNISINOS main website.,internacional@unisinos.br
BRAZIL,University of Sao Paulo,모든 전공,교환학생 수용하는 모든 학과,2.25/4.5,홈교 기준,홈교 기준,홈교 기준,준도시 — 상파울루 도심까지 지하철 약 25분,포르투갈어,담당자 이메일 문의,남미 최대 규모의 종합대학 연구 인프라 · 상파울루 미식·카페 문화 체험 가능 · 대도시 접근성·인턴십 기회 풍부,GPA:시트 · 어학:이메일문의 · 수업언어:웹 · 전공:시트 · 위치:AI추정,https://internationaloffice.usp.br/en/index.php/institutional/usp-units-offices/,mobility.area3@usp.br
BRAZIL,UNICAMP (University of Campinas),모든 전공,교환학생 수용하는 모든 학과 개방,5.0/10.0,2학기 이상,15 credits,32 credits,준도시 — 캄피나스 도심까지 버스 약 25분,포르투갈어,명시 없음,열대 식물원·호수로 자연 속 캠퍼스 분위기 · 상파울루 접근성 좋은 교통 허브 도시,GPA:시트 · 어학:시트 · 수업언어:웹 · 전공:시트 · 위치:AI추정,https://internationaloffice.unicamp.br/en/estrangeiros/estudantes-estrangeiros/formas-de-ingresso/,derime@unicamp.br
CANADA,Okanagan College,모든 전공,교환학생 수용하는 모든 학과(협정교 교환프로그램 홈페이지 또는 Fact Sheet 참고),60/100,1~2학기 이상,9 credits (3과목),15 credits (5과목),준도시 — 소도시 켈로나 시내 (밴쿠버에서 버스+기차 약 300분),영어,Duolingo 105점 이상 또는 TOEFL iBT 79점 이상 또는 IELTS 6.0점 이상,교내 기숙사·홈스테이·개인 숙소 선택 가능 · 와인 산업 중심지로 미식·와이너리 체험 가능 · 로키 산맥 근접해 자연 탐험·아웃도어 활동 적합 · 소도시라 한적하지만 밴쿠버 접근성 좋은 균형,GPA:시트 · 어학:웹 · 수업언어:시트 · 전공:시트 · 위치:AI추정,https://www.okanagan.bc.ca/international/mobility/inbound-mobility,mobility@okanagan.bc.ca
CANADA,Toronto Metropolitan University,미디어커뮤니케이션학과/디자인학과,Faculty of Communication&Design: Graphic Communication Management,2.5/4.0,4학기 이상,25 credits,30 credits,도시 — 토론토 도심에 위치,영어,IELTS 6.5점 이상 또는 TOEFL iBT 92점 이상 또는 MELAB 90점 이상 또는 PTE 60점 이상,기숙사 미보장·조기신청 필요 · 대도시 인턴십·아르바이트 기회 풍부 · 다문화 도시 음식·카페 탐방 매력적 · 나이아가라 폭포 등 근교 여행 접근성,GPA:시트 · 어학:시트 · 수업언어:웹 · 전공:시트 · 위치:AI추정,https://www.torontomu.ca/the-creative-school/international/exchanges/inbound/,exchange@torontomu.ca
CANADA,York University,모든 전공,교환학생 수용하는 모든 학과 개방,2.5/4.0,2학기 이상,9 York credits,15 York credits,준도시 — 토론토 도심까지 버스 약 30분,"영어, 프랑스어",담당자 이메일 문의,토론토 도심 접근성 좋은 교통 인프라 · 다문화 도시 환경에서 글로벌 경험 가능 · 현대적 캠퍼스 시설 및 연구 자원 풍부,GPA:시트 · 어학:이메일문의 · 수업언어:웹 · 전공:시트 · 위치:AI추정,https://yorkinternational.yorku.ca/global-learning/incoming-global-learning/explore-academic-exchange/,exchange@yorku.ca
CANADA,University of Saskatchewan,모든 전공,교환학생 수용하는 모든 학과 개방,담당자 이메일 문의,4학기 이상,9 credit units (3과목),15 credit units (5과목),도시 — 서스캐처원 도심에 위치,영어,IELTS 6.5점 이상 또는 TOEFL iBT 80점 이상 또는 Duolingo 120점 이상,교내 기숙사 미보장 · 대평원 풍경과 오로라 체험 가능한 자연 경관 · 캐나다 대표 곡창지대 농업 연구 중심지,GPA:이메일문의 · 어학:웹 · 수업언어:웹 · 전공:시트 · 위치:AI추정,https://students.usask.ca/international/exchange-students.php,issac@usask.ca
CANADA,Universite du Quebec a Montreal(UQAM),경영대학,교환학생 수용하는 모든 학과,명시 없음,제한 없음,12 credits (학부; 대학원 6),15 credits (학부; 대학원 9),도시 — 몬트리올 도심에 위치,프랑스어,프랑스어 CEFR B2 이상,프랑스어권 문화 체험 가능한 이중언어 도시 · 몬트리올 재즈 페스티벌 등 문화행사 활발 · 북미에서 유럽풍 거리 분위기 느껴지는 도시,GPA:웹 · 어학:웹 · 수업언어:웹 · 전공:시트 · 위치:AI추정,https://esg.uqam.ca/international/,esg.international@uqam.ca
CANADA,University of Manitoba,경영대학,교환학생 수용하는 모든 학과,Good standing (수치 기준 없음),2학기 이상,12 credits,15 credits,준도시 — 위니펙 도심까지 버스 약 15분,영어,IELTS 6.5점 이상 또는 TOEFL iBT 86점 이상 (영역별 20) 또는 CAEL 60점 이상,대평원 접한 자연 경관과 도시 접근성 조화 · 프랑스계 문화 영향받은 독특한 도시 분위기,GPA:시트 · 어학:웹 · 수업언어:시트 · 전공:시트 · 위치:AI추정,https://umanitoba.ca/asper/student-experience/asper-exchange-program#inbound-students-coming-to-asper,amber.pohl@umanitoba.ca
CANADA,Simon Fraser University,경영대학,모든 학과 개방,제한 없음 (홈교 선발 신뢰),제한 없음,9 SFU units (3과목),"18 SFU units (4~5과목, 비권장)",준도시 — 버너비 도심까지 버스 약 45분,영어,IELTS 6.5점 이상 (밴드 6.0) 또는 영어매체 재학 증명 인정,밴쿠버 근교 자연 경관과 도시 생활 균형 · 다양한 국제학생 커뮤니티와 문화 행사,GPA:웹 · 어학:웹 · 수업언어:시트 · 전공:시트 · 위치:AI추정,https://www.sfu.ca/students/exchange.html,exchange@sfu.ca
CANADA,Memorial University of Newfoundland,모든 전공,교환학생 수용하는 모든 학과,2.5/4.0,2학기 이상,6 credits,15 credits,준도시 — 소도시 세인트존스 시내 (핼리팩스에서 버스+기차 약 3시간),영어,IELTS 6.5점 이상 (R·W 6.0) 또는 TOEFL iBT 4.5점 이상 (신척도) 또는 Duolingo 115점 이상 또는 PTE 60점 이상,바다와 인접한 휴양지 분위기 · 소도시라 생활비 부담 적은 편 · 유럽풍 건축물과 역사적 명소 산재,GPA:시트 · 어학:웹 · 수업언어:시트 · 전공:시트 · 위치:AI추정,https://mun.ca/goabroad/,goabroad@mun.ca
CANADA,University of British Columbia(UBC),모든 전공,교환학생 수용하는 모든 학과,3.0/4.0 (B 또는 70%),제한 없음,명시 없음 (통상 9~15 credits),15 credits,준도시 — 밴쿠버 도심까지 버스 약 25분,영어,TOEFL iBT 90점 이상 또는 IELTS 6.5점 이상 (밴드 6.0) 또는 Duolingo 125점 이상 또는 PTE 65점 이상 (협정에 따라 면제 가능),교내 기숙사 신청 가능·수요 높음·조기신청 필요 · 바다와 가까운 휴양 도시 분위기 · 미식과 카페 문화로 유명한 도시 · 시내로 나가는 대중교통 편리,GPA:웹 · 어학:웹 · 수업언어:시트 · 전공:시트 · 위치:AI추정,https://global.ubc.ca/go-global/coming-ubc/coming-ubc-exchange,(UBC Vancouver) go.global@ubc.ca (UBC Okanagan) goglobal.okanagan@ubc.ca
CANADA,University of Toronto,모든 전공,교환학생 수용하는 모든 학과 개방(의·약·법·경영 일부 제한),2.7/4.0 (학부; 대학원 3.0/4.0),제한 없음,확인필요,"2.5 UofT credits (5과목, 풀타임)",도시 — 토론토 도심에 위치,영어,TOEFL iBT 80점 이상 또는 IELTS 6.5점 이상,기숙사 미보장·경쟁적 신청 필요 · 여름 학기 기숙사 보장 · 한국인 인지도 높은 캐나다 최고 명문대 · 다양한 문화·음식 체험 가능한 글로벌 도시 · 온타리오 호수 인접 자연 경관 접근성 우수,GPA:웹 · 어학:웹 · 수업언어:웹 · 전공:시트 · 위치:AI추정,https://learningabroad.utoronto.ca/inbound-visiting/student-exchange-fact-sheet/,inbound.exchange@utoronto.ca
CANADA,University of Montreal,모든 전공,대부분 학부 개방(공학/경영 제외),2.7/4.3,2학기 이상 (학부) / 1학기 (대학원),12 credits (학부),15 credits (학부),준도시 — 몬트리올 도심까지 지하철 약 15분,프랑스어,프랑스어 CEFR B2 이상 (영문학 전공은 영어 B2),프랑스어권 문화 체험에 최적화된 도시 · 유럽풍 건축물과 활기찬 예술 현장 · 겨울 카니발 등 독특한 계절 행사,GPA:시트 · 어학:웹 · 수업언어:웹 · 전공:웹 · 위치:AI추정,https://international.umontreal.ca/english/international-students/student-exchange-program/,echange@umontreal.ca
CANADA,HEC Montreal,모든 전공,교환학생 수용하는 모든 학과,2.3/4.3,2학기 이상,12 credits (4과목),15 credits (5과목),준도시 — 몬트리올 도심까지 지하철 약 15분,"프랑스어, 영어",명시 없음,프랑스어·영어 이중언어 도시 문화 체험 · 몬트리올 재즈페스티벌 등 세계적 축제 다수 · 북미에서 유럽풍 도시 분위기 독특,GPA:시트 · 어학:시트 · 수업언어:웹 · 전공:시트 · 위치:AI추정,https://www.hec.ca/en/students/international-exchanges/index.html,elodie.giannecchini@hec.ca
CHINA,Communication University of China,모든 전공,교환학생 수용하는 모든 학과,담당자 이메일 문의,2학기 이상,홈교 기준,12 credits,준도시 — 베이징 도심까지 지하철 약 30분,"중국어, 영어",TOEFL iBT 80점 이상 또는 IELTS 6.0점 이상 또는 HSK 5급 이상,베이징 도심 접근성 좋은 교통 인프라 · 미디어 시설 집약된 첨단 캠퍼스 환경 · 전통과 현대 조화되는 도시 문화 체험,GPA:이메일문의 · 어학:시트 · 수업언어:시트 · 전공:시트 · 위치:AI추정,,yjunli@cuc.edu.cn
CHINA,Huazhong University of Science and Technology,모든 전공,모든 학과 개방(협정교 프로그램 참조),담당자 이메일 문의,1학기 이상,전공별 상이,전공별 상이,준도시 — 우한 도심까지 버스 약 30분,"중국어, 영어",TOEFL iBT 80점 이상 또는 IELTS 6.0점 이상 또는 HSK 4급 180점 이상 (이공·의학) / HSK 5급 180점 (인문·사회),교내 기숙사 700-1400 CNY/월 · 공학·의학 분야 세계적 연구 인프라 · 우한 특색 있는 후이쿠이 거리 미식 체험 · 장강 유람·황허궁 등 역사 명소 접근성,GPA:이메일문의 · 어학:시트 · 수업언어:시트 · 전공:시트 · 위치:AI추정,https://iso.hust.edu.cn/info/1194/4633.htm,vivianyan@hust.edu.cn
CHINA,Shandong University,모든 전공,교환학생 수용하는 모든 학과,담당자 이메일 문의,제한 없음,확인필요,확인필요,준도시 — 지난 도심까지 버스 약 30분,"중국어, 영어",담당자 이메일 문의,산둥반도 역사 유적과 현대 도시 조화 · 실크로드 경제벨트 중심 도시 접근성,GPA:이메일문의 · 어학:이메일문의 · 수업언어:웹 · 전공:시트 · 위치:AI추정,http://www.en.sdu.edu.cn/,incoming@sdu.edu.cn
CHINA,"Renmin Business School, Renmin University of China",경영대학,교환학생 수용하는 모든 학과,3.0/4.0,제한 없음,제한 없음,제한 없음,준도시 — 베이징 도심까지 지하철 약 30분,영어,담당자 이메일 문의,베이징 중심가 접근성·역사문화 탐방 용이 · 경영 분야 글로벌 네트워크 형성 기회,GPA:시트 · 어학:이메일문의 · 수업언어:웹 · 전공:시트 · 위치:AI추정,https://international.rmbs.ruc.edu.cn/incoming/,rmbsexchangeincoming@rmbs.ruc.edu.cn
CHINA,BEIJING NORMAL UNIVERSITY,모든 전공,교환학생 수용하는 모든 학과,3.0/4.0,2학기 이상,확인필요,26 credits,준도시 — 베이징 도심까지 지하철 약 30분,"중국어, 영어",TOEFL iBT 80점 이상 또는 IELTS 6.0점 이상 또는 HSK 180점 이상,기숙사 제공 및 공항 픽업 서비스 · 베이징 역사·문화 유적 접근성 우수 · 미식과 전통 시장 체험 기회 풍부,GPA:시트 · 어학:시트 · 수업언어:시트 · 전공:시트 · 위치:AI추정,"Admission Office: https://admission-is.bnu.edu.cn/english/index.html
 International Students Office Website: http://iso.bnu.edu.cn/en/index",nondegree@bnu.edu.cn
CHINA,Shanghai Jiao Tong University,경영대학,Antai College of Economics and Management,3/4.3,2학기 이상 (학부) / 1학기 (대학원),홈교 기준,제한 없음,준도시 — 상하이 도심까지 지하철 약 30분,"중국어, 영어",IELTS 6점 이상,상하이 미식·카페 문화 체험 가능 · 도심 접근성 좋은 첨단 캠퍼스 환경 · 한국인에게 인지도 높은 명문 공학·경영대,GPA:시트 · 어학:시트 · 수업언어:웹 · 전공:시트 · 위치:AI추정,,yayatao@sjtu.edu.cn
CROATIA,University of Zagreb,경영대학,교환학생 수용하는 모든 학과,담당자 이메일 문의,2학기 이상,20 ECTS (권장),30 ECTS (권장),도시 — 자그레브 도심에 위치,"크로아티아어, 영어",TOEIC 700점 이상 또는 TOEFL iBT 79점 이상 또는 IELTS 6.0점 이상,아드리아해 접근 용이한 유럽 배낭여행 거점 · 중세 건축물과 현대적 도시 풍경 조화,GPA:이메일문의 · 어학:시트 · 수업언어:웹 · 전공:시트 · 위치:AI추정,https://studentexchange.net.efzg.hr/home,incoming-mobility@net.efzg.hr
CZECH REPUBLIC,Masaryk University,모든 전공,교환학생 수용하는 모든 학과,2.5/4.0,2학기 이상,20 ECTS,제한 없음 (현실적 최대 35~40 ECTS),도시 — 브르노 도심에 위치,영어,영어 CEFR B2 이상,기숙사 신청 가능 · 유럽 중부 교통 허브로 주말 여행 편리 · 역사적 건축물과 현대적 도시 풍경 조화 · 체코 전통 음식과 와인 문화 체험,GPA:시트 · 어학:시트 · 수업언어:웹 · 전공:시트 · 위치:AI추정,https://czs.muni.cz/en/student-from-abroad/exchange-non-degree-studies/partner-universities,hrebeska@czs.muni.cz
CZECH REPUBLIC,Charles University,모든 전공,교환학생 수용하는 모든 학과 개방(의·약·법 등 제한 없음),제한 없음/명시 없음,2학기 이상,4과목 (학부; 대학원 3과목),홈교 기준,도시 — 프라하 도심에 위치,영어,IELTS 5.5점 이상 또는 TOEFL IBT 72점 이상 또는 TOEFL ITP 543점 이상,"교환학생 기숙사 보장 (Větrník, Hvězda, Kajetánka) · 유럽 역사 중심지에서의 문화 체험 · 중세 건축물과 현대적 도시 풍경 조화 · 체코 전통 음식과 맥주 문화 체험",GPA:시트 · 어학:시트 · 수업언어:웹 · 전공:시트 · 위치:AI추정,https://cuni.cz/UKEN-344.html,adriana.cernohorska@ruk.cuni.cz
DENMARK,University of Southern Denmark,모든 전공,교환학생 수용하는 모든 학과,담당자 이메일 문의,확인필요,30 ECTS,30 ECTS,준도시 — 소도시 오덴세 시내 (코펜하겐에서 기차 약 90분),영어,TOEFL iBT 88점 이상 또는 IELTS 6.5점 이상,"학생 기숙사 제공 (에스비에르, 콜딩, 오덴세, 쇠네르보르, 베일레) · 유럽 한복판 주말 배낭여행 거점 · 고즈넉한 유럽 대학도시 낭만 · 바다와 가까운 휴양 도시 분위기",GPA:이메일문의 · 어학:시트 · 수업언어:웹 · 전공:시트 · 위치:AI추정,https://www.sdu.dk/en/uddannelse/exchange,incoming@sdu.dk
DENMARK,Technical University of Denmark (DTU),모든 전공,교환학생 수용하는 모든 학과 개방,담당자 이메일 문의,4학기 이상,20 ECTS,35 ECTS,준도시 — 소도시 린비 시내 (코펜하겐에서 기차 약 30분),영어,TOEFL iBT 100점 이상 또는 IELTS 6.5점 이상 또는 CEFR B2 이상,코펜하겐 접근성 좋은 소도시 생활 · 북유럽 첨단기술 연구 인프라 체험 · 자전거 친화적 도시 환경,GPA:이메일문의 · 어학:웹 · 수업언어:시트 · 전공:시트 · 위치:AI추정,https://www.dtu.dk/english/education/incoming-students/exchange,international@adm.dtu.dk
DENMARK,University of Copenhagen,문헌정보학과,Faculty of Humanities,담당자 이메일 문의,2학기 이상,명시 없음,제한 없음,도시 — 코펜하겐 도심에 위치,영어,일부 학과만 요구 (TOEFL iBT 83점 또는 신척도 4.5 또는 B2 확인; 그 외 불요),교환학생 기숙사 신청 보장 · 유럽 배낭여행 거점으로 주말 여행 편리 · 북유럽 미식·디자인 문화 체험 가능 · 한적한 운하·공원 도시 낭만적 분위기,GPA:이메일문의 · 어학:웹 · 수업언어:시트 · 전공:시트 · 위치:AI추정,https://studies.ku.dk/study-abroad/,incomingmobility@adm.ku.dk
DENMARK,Roskilde University,모든 전공,교환학생 수용하는 모든 학과 개방,담당자 이메일 문의,2학기 이상 (60 ECTS),30 ECTS (풀타임 기준),30 ECTS,준도시 — 소도시 로스킬데 시내 (코펜하겐에서 기차 약 45분),영어,영어 CEFR B2 (증빙 필요),코펜하겐 접근성 좋은 소도시 생활 · 자연과 어우러진 현대적 캠퍼스,GPA:이메일문의 · 어학:웹 · 수업언어:시트 · 전공:시트 · 위치:AI추정,,incoming-exchange@ruc.dk
